model,qformat,tp,mps_percentage,batch_size,input_len,output_len,seq_len,prefill_time,decode_time,ttft,tpot,e2e
llama-3.1-70b,org,4,100,4,256,256,512,0.0645807795255677,11.388422515423915,0.0942681312561035,0.0446604804526428,11.482307040691376
llama-3.1-70b,org,4,100,8,256,256,512,0.1011015570752533,11.468048358738452,0.1428525745868683,0.0449727386617194,11.61049462556839
llama-3.1-70b,org,4,100,16,256,256,512,0.2324415712127575,11.56961698721252,0.2841352164745331,0.0453710470086765,11.8528910279274
llama-3.1-70b,org,4,100,32,256,256,512,0.5066444686666045,11.523205390634416,0.5566113092005253,0.0451890407475859,12.078851232677698
llama-3.1-8b,awq,1,100,1,256,256,512,0.0156244000998412,3.769983579899781,0.0176734447479248,0.0147842493329403,3.787677454948425
llama-3.1-8b,awq,1,100,2,256,256,512,0.019188521250544,3.8188809287992624,0.0267713665962219,0.01497600364235,3.8455989003181457
llama-3.1-8b,awq,1,100,4,256,256,512,0.034598373650806,3.794016411349367,0.0458966851234436,0.0148784957307818,3.839782208204269
llama-3.1-8b,awq,1,100,8,256,256,512,0.067567045875694,3.892113488411951,0.0857121646404266,0.0152631901506351,3.9776442855596543
llama-3.1-8b,awq,1,100,16,256,256,512,0.146227113849909,3.949699103468788,0.1719824254512786,0.0154890160920344,4.121029044687748
llama-3.1-8b,awq,1,100,32,256,256,512,0.3235530056589141,4.096193280694001,0.3548743963241577,0.0160635030615451,4.450023473799229
llama-3.1-8b,awq,2,100,1,256,256,512,0.0254421840014401,4.490365918800672,0.0277887344360351,0.0176092781129438,4.518057775497437
llama-3.1-8b,awq,2,100,2,256,256,512,0.0204139555989968,4.605607036350557,0.0297877788543701,0.0180612040641198,4.635233438014984
llama-3.1-8b,awq,2,100,4,256,256,512,0.0247115185504299,4.613182032876284,0.0380660831928253,0.0180909099328481,4.651077216863632
llama-3.1-8b,awq,2,100,8,256,256,512,0.0697443779504283,4.757407519487697,0.0920038819313049,0.0186565000764223,4.84516319334507
llama-3.1-8b,awq,2,100,16,256,256,512,0.1228050148496095,4.59831306518754,0.1438316464424133,0.0180326002556374,4.73962584733963
llama-3.1-8b,awq,2,100,32,256,256,512,0.2143407239780117,4.940418131440401,0.2378504544496536,0.0193741887507466,5.177243046462536
llama-3.1-8b,awq,4,100,1,256,256,512,0.02657875010118,4.620451904599031,0.028360104560852,0.0181194192337216,4.648658275604248
llama-3.1-8b,awq,4,100,2,256,256,512,0.0214039352995314,4.858181629699902,0.0330630779266357,0.0190516926654898,4.8902470707893375
llama-3.1-8b,awq,4,100,4,256,256,512,0.0217351142500774,4.847456370775217,0.0346189975738525,0.0190096328265694,4.8809602618217465
llama-3.1-8b,awq,4,100,8,256,256,512,0.0315265130362604,4.804799719225412,0.0509109914302825,0.0188423518400996,4.855371940135956
llama-3.1-8b,awq,4,100,16,256,256,512,0.0545230198563786,4.964358586800836,0.0744176357984542,0.019468072889415,5.037939971685409
llama-3.1-8b,awq,4,100,32,256,256,512,0.1054724881332504,4.993740655381816,0.1270660728216171,0.0195832966877718,5.119686380028725
llama-3.1-8b,fp8_kv8,1,100,1,256,256,512,0.0201791046991274,4.748160422599904,0.0219265222549438,0.0186202369513721,4.770119667053223
llama-3.1-8b,fp8_kv8,1,100,2,256,256,512,0.0192547362001278,4.759460896299788,0.0267788887023925,0.0186645525345089,4.7861745119094845
llama-3.1-8b,fp8_kv8,1,100,4,256,256,512,0.0214759218999461,4.880760838025253,0.0374586462974548,0.0191402385804911,4.918069750070572
llama-3.1-8b,fp8_kv8,1,100,8,256,256,512,0.0357950563998656,5.212805611325075,0.055206099152565,0.0204423749463728,5.267631468176842
llama-3.1-8b,fp8_kv8,1,100,16,256,256,512,0.0639070929625859,4.946229784731327,0.0846453443169593,0.0193969795479659,5.030316065251827
llama-3.1-8b,fp8_kv8,1,100,32,256,256,512,0.1209505390025924,5.101619626462809,0.1437660843133926,0.0200063514763247,5.244354721158743
llama-3.1-8b,fp8_kv8,2,100,1,256,256,512,0.0312486497998179,5.579737068598479,0.0330078363418579,0.021881321837641,5.612571740150452
llama-3.1-8b,fp8_kv8,2,100,2,256,256,512,0.0496312621493416,5.705842946600387,0.0849452376365661,0.0223758546925505,5.7644823551177975
llama-3.1-8b,fp8_kv8,2,100,4,256,256,512,0.0245074624748667,5.693754313199497,0.0421623528003692,0.0223284482870568,5.735291367769241
llama-3.1-8b,fp8_kv8,2,100,8,256,256,512,0.068219527936435,5.831557303950467,0.0947439223527908,0.0228688521723547,5.920057520270348
llama-3.1-8b,fp8_kv8,2,100,16,256,256,512,0.0410012657171137,5.950577995168032,0.0878160163760185,0.0233355999810511,6.012723003327847
llama-3.1-8b,fp8_kv8,2,100,32,256,256,512,0.1220292008454407,5.919404223888568,0.1461249716579914,0.0232133498976022,6.064449169486761
llama-3.1-8b,fp8_kv8,4,100,1,256,256,512,0.032479183099349,5.424840360000235,0.0342246055603027,0.0212738837647068,5.458926391601563
llama-3.1-8b,fp8_kv8,4,100,2,256,256,512,0.0250296693502605,5.865992957799972,0.0362407803535461,0.0230038939521567,5.902088737487793
llama-3.1-8b,fp8_kv8,4,100,4,256,256,512,0.0479334863237454,5.758337904250766,0.0720465183258056,0.0225817172715716,5.8223134815692905
llama-3.1-8b,fp8_kv8,4,100,8,256,256,512,0.0544666772499113,5.82441828535084,0.0794158607721328,0.0228408560209836,5.89941672384739
llama-3.1-8b,fp8_kv8,4,100,16,256,256,512,0.0363498800385059,5.919371678568723,0.0602214783430099,0.0232132222688969,5.977731014788151
llama-3.1-8b,fp8_kv8,4,100,32,256,256,512,0.0932799272770125,5.809503897878517,0.117435959726572,0.0227823682269745,5.925098638981581
llama-3.1-8b,org,1,100,1,256,256,512,0.017084020999755,3.961762075200022,0.0188927173614501,0.0155363218635294,3.980607295036316
llama-3.1-8b,org,1,100,2,256,256,512,0.0184504161999939,3.93767647709974,0.0258462309837341,0.015441868537646,3.9634686946868896
llama-3.1-8b,org,1,100,4,256,256,512,0.022338024950568,3.9944897899493297,0.0337274491786956,0.0156646658429385,4.028026700019836
llama-3.1-8b,org,1,100,8,256,256,512,0.0388050120126536,3.95245987801236,0.0563518047332763,0.0154998426588719,4.008547040820122
llama-3.1-8b,org,1,100,16,256,256,512,0.0770006160194043,4.009422417649262,0.0991469413042068,0.015723225167252,4.107870273292065
llama-3.1-8b,org,1,100,32,256,256,512,0.1761852192939614,4.057123399668649,0.1980496436357498,0.0159102878418378,4.25426062270999
llama-3.1-8b,org,2,100,1,256,256,512,0.0459425757995632,4.901755417899404,0.0476774930953979,0.0192225702662721,4.949328017234802
llama-3.1-8b,org,2,100,2,256,256,512,0.021282570000767,4.7242834692991895,0.0306801557540893,0.0185266018403889,4.754804706573486
llama-3.1-8b,org,2,100,4,256,256,512,0.0232578899258442,4.958156327548568,0.0390613257884979,0.019443750304112,4.996949923038483
llama-3.1-8b,org,2,100,8,256,256,512,0.0272055690376873,4.9296867811001,0.0458519697189331,0.0193321050239219,4.975177857279777
llama-3.1-8b,org,2,100,16,256,256,512,0.0538650582694117,4.963037375847716,0.076902662217617,0.019462891669991,5.038680133223534
llama-3.1-8b,org,2,100,32,256,256,512,0.1370476879066473,5.005702358315989,0.1625622168183326,0.0196302053267293,5.166344294697046
llama-3.1-8b,org,4,100,1,256,256,512,0.0451884806003363,4.734324056698824,0.047102665901184,0.0185659766929365,4.781250691413879
llama-3.1-8b,org,4,100,2,256,256,512,0.0218540581005072,4.837097041399465,0.0312177658081054,0.0189690080054881,4.868172633647919
llama-3.1-8b,org,4,100,4,256,256,512,0.0218158940495413,4.81952765074966,0.0367287755012512,0.0189001084343123,4.855889183282852
llama-3.1-8b,org,4,100,8,256,256,512,0.0261389996006073,4.923918614511967,0.0471868366003036,0.019309484762792,4.970657232403755
llama-3.1-8b,org,4,100,16,256,256,512,0.0364603074815022,4.932435280869004,0.0585575297474861,0.0193428834543882,4.9903396055102345
llama-3.1-8b,org,4,100,32,256,256,512,0.0697997191860395,5.032612207656302,0.0945049092173576,0.0197357341476717,5.1261007659137245
